date,datetime,narrow_bands,open,close,trend,call_strike,put_strike,call_p,put_p,c_dist_p,p_dist_p,final_signal,temp_signal,high,low,volume,wap,count,SMA5,SMA50,RSI,ATR,ATR_percent,ATR_up,ATR_down,MACD,MACDSignal,MACDHist,bb_up,bb_mid,bb_low,band_width,tech_signal,minutes_since_open,remaining_intervals,SellCall_profit,SellPut_profit,SellIronCondor_profit,day,day_high,day_low,day_high_remaining_2,day_low_remaining_2,new_day,day_group,day_high_remaining,day_low_remaining,date_num,x
20250206 21:50:00 Europe/Berlin,2025-02-06 21:50:00+01:00,False,6073.35,6081.73,UP,6095.0,6070.0,0.9122,0.8844,0.22,0.19,StrategyEnum.Hold,StrategyEnum.SellCall,6081.98,6073.35,0,0,291,6072.03,6069.38,69.56,4.17,0.06864025670347974,6085.904515084012,6077.555484915987,1.3512591461012562,-1.0345562674635398,2.3858154135647958,6078.96,6063.74,6048.53,30.4,StrategyEnum.SellCall,380,2,,,,615,6081.98,6073.35,6081.98,6073.35,False,7,6084.03,6073.35,2025-02-06 21:50,622
20250206 21:55:00 Europe/Berlin,2025-02-06 21:55:00+01:00,False,6081.78,6082.86,UP,6090.0,6075.0,0.8486,0.8717,0.12,0.13,StrategyEnum.Hold,StrategyEnum.SellCall,6084.03,6079.26,0,0,294,6075.14,6069.6,70.46,4.22,0.06932675946625029,6087.077049720869,6078.642950279131,2.3835692980928798,-0.35093115435225586,2.7345004524451357,6081.35,6064.3,6047.25,34.1,StrategyEnum.SellCall,385,1,,,,616,6095.61,6079.26,6095.61,6079.26,False,7,6084.03,6079.26,2025-02-06 21:55,623
20250207 15:30:00 Europe/Berlin,2025-02-07 15:30:00+01:00,False,6083.13,6092.86,UP,6155.0,6030.0,0.8447,0.8475,1.02,1.03,StrategyEnum.Hold,StrategyEnum.SellCall,6095.61,6083.13,0,0,296,6080.11,6069.98,76.99,4.83,0.07921642987657894,6097.686546169378,6088.0334538306215,3.962916918051633,0.5118384601285219,3.451078457923111,6086.43,6065.42,6044.42,42.0,StrategyEnum.SellCall,0,78,,,,616,6095.61,6079.26,6095.61,6083.13,True,8,6101.28,6019.96,2025-02-07 15:30,624
20250207 15:35:00 Europe/Berlin,2025-02-07 15:35:00+01:00,False,6092.64,6093.34,UP,6155.0,6030.0,0.8443,0.8508,1.01,1.04,StrategyEnum.Hold,StrategyEnum.SellCall,6094.09,6088.35,0,0,297,6084.9,6070.42,77.25,4.89,0.08028097679705035,6098.231792871566,6088.448207128435,5.19342668390982,1.4481561048847815,3.7452705790250382,6091.12,6066.85,6042.58,48.5,StrategyEnum.SellCall,5,77,,,,617,6094.09,6088.35,6094.09,6088.35,False,8,6101.28,6019.96,2025-02-07 15:35,625
20250207 15:40:00 Europe/Berlin,2025-02-07 15:40:00+01:00,False,6093.32,6094.33,UP,6155.0,6030.0,0.842,0.8561,1.0,1.06,StrategyEnum.SellCall,StrategyEnum.Hold,6096.48,6092.03,0,0,294,6089.02,6070.89,77.81,4.86,0.07975013230137082,6099.190236237882,6089.4697637621175,6.177291296090516,2.3939831431259284,3.7833081529645876,6094.78,6069.09,6043.4,51.4,StrategyEnum.Hold,10,76,True,,,618,6096.48,6092.03,6096.48,6092.03,False,8,6101.28,6019.96,2025-02-07 15:40,626
20250207 15:45:00 Europe/Berlin,2025-02-07 15:45:00+01:00,False,6094.25,6098.22,UP,6160.0,6035.0,0.8478,0.8533999999999999,1.01,1.04,StrategyEnum.Hold,StrategyEnum.Hold,6099.01,6094.15,0,0,289,6092.32,6071.45,79.89,4.86,0.07969898369930464,6103.080219363748,6093.359780636252,7.188042302260328,3.3527949749528085,3.8352473273075196,6099.06,6071.22,6043.37,55.7,StrategyEnum.Hold,15,75,,,,619,6099.01,6094.15,6099.01,6094.15,False,8,6101.28,6019.96,2025-02-07 15:45,627
20250207 15:50:00 Europe/Berlin,2025-02-07 15:50:00+01:00,False,6098.37,6099.34,UP,6160.0,6035.0,0.845,0.8592,0.99,1.05,StrategyEnum.Hold,StrategyEnum.Hold,6101.28,6097.05,0,0,292,6095.62,6072.08,80.46,4.82,0.07894630722190565,6104.155203694909,6094.5247963050915,7.987370956070663,4.279710171176379,3.7076607848942835,6102.6,6073.55,6044.49,58.1,StrategyEnum.Hold,20,74,,,,620,6101.28,6097.05,6101.28,6097.05,False,8,6101.28,6019.96,2025-02-07 15:50,628
20250207 15:55:00 Europe/Berlin,2025-02-07 15:55:00+01:00,False,6099.66,6098.82,UP,6160.0,6035.0,0.8487,0.8589,1.0,1.05,StrategyEnum.Hold,StrategyEnum.Hold,6099.66,6095.63,0,0,296,6096.81,6072.59,79.34,4.76,0.07803341821370047,6103.5791177167,6094.060882283299,8.48111994744886,5.119992126430875,3.361127821017985,6105.77,6075.53,6045.29,60.5,StrategyEnum.Hold,25,73,,,,621,6099.66,6095.63,6099.66,6095.63,False,8,6099.66,6019.96,2025-02-07 15:55,629
20250207 16:00:00 Europe/Berlin,2025-02-07 16:00:00+01:00,False,6098.76,6067.03,DOWN,6130.0,6005.0,0.8586,0.8549,1.04,1.02,StrategyEnum.Hold,StrategyEnum.Hold,6098.76,6064.52,0,0,293,6091.55,6072.41,41.37,6.87,0.11322147305908184,6073.899180736936,6060.160819263064,6.235354969781838,5.343064695101068,0.8922902746807697,6105.59,6075.84,6046.1,59.5,StrategyEnum.Hold,30,72,,,,622,6098.76,6064.52,6098.76,6064.52,False,8,6098.76,6019.96,2025-02-07 16:00,630
20250207 16:05:00 Europe/Berlin,2025-02-07 16:05:00+01:00,False,6067.2,6075.01,DOWN,6135.0,6015.0,0.8482,0.8483,0.99,0.99,StrategyEnum.Hold,StrategyEnum.Hold,6076.48,6063.62,0,0,299,6087.68,6072.5,48.09,7.3,0.1201166154225884,6082.307096398584,6067.712903601417,5.041375514689207,5.282726859018696,-0.24135134432948924,6105.17,6076.77,6048.37,56.8,StrategyEnum.SellIronCondor,35,71,,,,623,6076.48,6063.62,6076.48,6063.62,False,8,6076.48,6019.96,2025-02-07 16:05,631
20250207 16:10:00 Europe/Berlin,2025-02-07 16:10:00+01:00,False,6075.23,6061.59,DOWN,6120.0,6000.0,0.844,0.8568,0.96,1.02,StrategyEnum.Hold,StrategyEnum.Hold,6075.59,6057.48,0,0,290,6080.36,6072.31,39.82,8.07,0.13312425709801956,6069.659446655828,6053.520553344172,2.977928642299048,4.821767215674766,-1.8438385733757183,6104.81,6077.01,6049.21,55.6,StrategyEnum.Hold,40,70,,,,624,6075.59,6057.48,6075.59,6057.48,False,8,6075.59,6019.96,2025-02-07 16:10,632
20250207 16:15:00 Europe/Berlin,2025-02-07 16:15:00+01:00,False,6062.15,6066.84,DOWN,6125.0,6005.0,0.8445,0.8593,0.96,1.02,StrategyEnum.Hold,StrategyEnum.Hold,6067.56,6057.6,0,0,296,6073.86,6072.21,43.89,8.2,0.13523491933875909,6075.044486180412,6058.635513819589,1.7461348973511122,4.206640752010036,-2.4605058546589236,6104.35,6077.42,6050.49,53.9,StrategyEnum.Hold,45,69,,,,625,6067.56,6057.6,6067.56,6057.6,False,8,6074.44,6019.96,2025-02-07 16:15,633
20250207 16:20:00 Europe/Berlin,2025-02-07 16:20:00+01:00,False,6066.46,6071.06,UP,6130.0,6010.0,0.8493,0.8579,0.97,1.01,StrategyEnum.Hold,StrategyEnum.Hold,6072.79,6060.29,0,0,296,6068.31,6072.19,46.98,8.51,0.1401947698770307,6079.571308596097,6062.548691403904,1.097793531395837,3.584871307887196,-2.487077776491359,6103.99,6077.91,6051.83,52.2,StrategyEnum.Hold,50,68,,,,626,6072.79,6060.29,6072.79,6060.29,False,8,6074.44,6019.96,2025-02-07 16:20,634
20250207 16:25:00 Europe/Berlin,2025-02-07 16:25:00+01:00,False,6071.16,6066.11,DOWN,6125.0,6005.0,0.8511,0.86,0.97,1.01,StrategyEnum.Hold,StrategyEnum.Hold,6073.42,6066.11,0,0,291,6068.12,6072.04,43.92,8.43,0.13889462669210512,6074.535500839233,6057.684499160767,0.18245150927850773,2.904387348165458,-2.7219358388869503,6103.91,6077.99,6052.07,51.8,StrategyEnum.Hold,55,67,,,,627,6073.42,6066.11,6073.42,6066.11,False,8,6074.44,6019.96,2025-02-07 16:25,635
20250207 16:30:00 Europe/Berlin,2025-02-07 16:30:00+01:00,False,6066.18,6066.67,UP,6125.0,6010.0,0.8506,0.8436,0.96,0.93,StrategyEnum.Hold,StrategyEnum.Hold,6068.05,6063.11,0,0,298,6066.45,6071.86,44.36,8.18,0.13477800001603898,6074.846536493573,6058.493463506427,-0.4921036534542509,2.2250891478415165,-2.7171928012957673,6103.87,6078.04,6052.21,51.7,StrategyEnum.Hold,60,66,,,,628,6068.05,6063.11,6068.05,6063.11,False,8,6074.44,6019.96,2025-02-07 16:30,636
20250207 16:35:00 Europe/Berlin,2025-02-07 16:35:00+01:00,False,6066.81,6067.32,DOWN,6125.0,6010.0,0.8497,0.8482000000000001,0.95,0.94,StrategyEnum.Hold,StrategyEnum.Hold,6074.44,6065.82,0,0,293,6067.6,6071.7,44.91,8.21,0.135285636134534,6075.528212458317,6059.111787541682,-0.96314141737912,1.5874430347973891,-2.5505844521765093,6103.85,6078.08,6052.31,51.5,StrategyEnum.Hold,65,65,,,,629,6074.44,6065.82,6074.44,6065.82,False,8,6074.44,6019.96,2025-02-07 16:35,637
20250207 16:40:00 Europe/Berlin,2025-02-07 16:40:00+01:00,False,6067.38,6064.71,DOWN,6120.0,6005.0,0.8415,0.86,0.91,0.98,StrategyEnum.Hold,StrategyEnum.Hold,6071.38,6063.06,0,0,290,6067.17,6071.43,43.09,8.22,0.1354755179179822,6072.9261972827235,6056.493802717277,-1.5294172561534651,0.9640709766072182,-2.4934882327606833,6103.96,6077.95,6051.94,52.0,StrategyEnum.Hold,70,64,,,,630,6071.38,6063.06,6071.38,6063.06,False,8,6073.37,6019.96,2025-02-07 16:40,638
20250207 16:45:00 Europe/Berlin,2025-02-07 16:45:00+01:00,False,6064.67,6068.02,UP,6125.0,6010.0,0.8505,0.8549,0.94,0.96,StrategyEnum.Hold,StrategyEnum.Hold,6068.52,6061.29,0,0,289,6066.57,6071.29,46.07,8.15,0.13424073453403254,6076.165754619672,6059.874245380329,-1.691605822074962,0.4329356168707822,-2.124541438945744,6103.96,6077.95,6051.94,52.0,StrategyEnum.Hold,75,63,,,,631,6068.52,6061.29,6068.52,6061.29,False,8,6073.37,6019.96,2025-02-07 16:45,639
20250207 16:50:00 Europe/Berlin,2025-02-07 16:50:00+01:00,False,6067.98,6036.57,DOWN,6095.0,5980.0,0.8598,0.852,0.97,0.94,StrategyEnum.Hold,StrategyEnum.SellPut,6073.37,6032.9,0,0,291,6060.66,6070.55,29.99,10.45,0.1731882391771395,6047.024629289695,6026.115370710304,-4.308230985437149,-0.5152977035908041,-3.7929332818463446,6107.83,6076.31,6044.79,63.0,StrategyEnum.SellPut,80,62,,,,632,6073.37,6032.9,6073.37,6032.9,False,8,6073.37,6019.96,2025-02-07 16:50,640
20250207 16:55:00 Europe/Berlin,2025-02-07 16:55:00+01:00,False,6036.69,6052.47,DOWN,6110.0,5995.0,0.8574,0.8571,0.95,0.95,StrategyEnum.SellPut,StrategyEnum.Hold,6052.61,6035.67,0,0,299,6057.82,6070.07,41.17,10.92,0.1803870164530708,6063.3878700547175,6041.552129945283,-5.040820717582392,-1.4204023063891218,-3.62041841119327,6108.43,6075.24,6042.06,66.4,StrategyEnum.Hold,85,61,,True,,633,6052.61,6035.67,6052.61,6035.67,False,8,6063.16,6019.96,2025-02-07 16:55,641
20250207 17:00:00 Europe/Berlin,2025-02-07 17:00:00+01:00,False,6052.82,6041.73,DOWN,6100.0,5985.0,0.8628,0.8564,0.96,0.94,StrategyEnum.Hold,StrategyEnum.Hold,6052.82,6036.52,0,0,297,6052.7,6069.38,36.89,11.3,0.187070721597152,6053.032307907951,6030.427692092048,-6.414093918350773,-2.4191406287814523,-3.9949532895693203,6109.32,6073.24,6037.17,72.1,StrategyEnum.Hold,90,60,,,,634,6052.82,6036.52,6052.82,6036.52,False,8,6063.16,6019.96,2025-02-07 17:00,642
20250207 17:05:00 Europe/Berlin,2025-02-07 17:05:00+01:00,False,6040.9,6053.06,UP,6110.0,6000.0,0.8589,0.8418,0.94,0.88,StrategyEnum.Hold,StrategyEnum.Hold,6054.34,6035.63,0,0,294,6050.37,6068.93,43.56,11.83,0.19546194439951617,6064.89142877167,6041.228571228331,-6.51310746404215,-3.237933995833592,-3.2751734682085583,6108.57,6071.75,6034.94,73.6,StrategyEnum.Hold,95,59,,,,635,6054.34,6035.63,6054.34,6035.63,False,8,6063.16,6019.96,2025-02-07 17:05,643
20250207 17:10:00 Europe/Berlin,2025-02-07 17:10:00+01:00,False,6053.29,6043.63,DOWN,6100.0,5990.0,0.8589,0.8468,0.93,0.89,StrategyEnum.Hold,StrategyEnum.Hold,6053.58,6043.44,0,0,293,6045.49,6068.29,39.79,11.71,0.1937678585690364,6055.340612430836,6031.919387569164,-7.26870944469465,-4.044089085605804,-3.2246203590888465,6106.72,6069.29,6031.87,74.9,StrategyEnum.Hold,100,58,,,,636,6053.58,6043.44,6053.58,6043.44,False,8,6063.16,6019.96,2025-02-07 17:10,644
20250207 17:15:00 Europe/Berlin,2025-02-07 17:15:00+01:00,False,6043.71,6057.24,UP,6110.0,6005.0,0.8444,0.8421,0.87,0.86,StrategyEnum.Hold,StrategyEnum.Hold,6063.16,6042.85,0,0,293,6049.63,6067.98,46.93,12.32,0.203473106564406,6069.564854400061,6044.915145599938,-6.692172997117268,-4.573705867908097,-2.1184671292091712,6103.55,6067.49,6031.42,72.1,StrategyEnum.Hold,105,57,,,,637,6063.16,6042.85,6063.16,6042.85,False,8,6063.16,6019.96,2025-02-07 17:15,645
20250207 17:20:00 Europe/Berlin,2025-02-07 17:20:00+01:00,False,6056.69,6051.18,UP,6105.0,5995.0,0.8516,0.862,0.89,0.93,StrategyEnum.Hold,StrategyEnum.Hold,6062.09,6049.33,0,0,295,6049.37,6067.53,44.4,12.36,0.20419052529636952,6063.535936228629,6038.824063771372,-6.647625375829193,-4.9884897694923165,-1.6591356063368767,6099.85,6065.33,6030.82,69.0,StrategyEnum.Hold,110,56,,,,638,6062.09,6049.33,6062.09,6049.33,False,8,6062.09,6019.96,2025-02-07 17:20,646
20250207 17:25:00 Europe/Berlin,2025-02-07 17:25:00+01:00,False,6050.74,6039.98,DOWN,6095.0,5985.0,0.8596,0.8593999999999999,0.91,0.91,StrategyEnum.Hold,StrategyEnum.Hold,6052.52,6039.44,0,0,295,6049.02,6066.86,40.11,12.41,0.20542543302198252,6052.38765506944,6027.572344930559,-7.430414272246708,-5.476874670043195,-1.953539602203513,6095.12,6062.42,6029.72,65.4,StrategyEnum.Hold,115,55,,,,639,6052.52,6039.44,6052.52,6039.44,False,8,6056.42,6019.96,2025-02-07 17:25,647
20250207 17:30:00 Europe/Berlin,2025-02-07 17:30:00+01:00,False,6039.94,6047.08,DOWN,6100.0,5995.0,0.8521,0.8483,0.88,0.86,StrategyEnum.Hold,StrategyEnum.Hold,6048.05,6039.94,0,0,291,6047.82,6066.38,43.82,12.1,0.20010781579437084,6059.180679707338,6034.979320292662,-7.3926515640578145,-5.860030048846118,-1.5326215152116962,6088.38,6059.81,6031.23,57.2,StrategyEnum.Hold,120,54,,,,640,6048.05,6039.94,6048.05,6039.94,False,8,6056.42,6019.96,2025-02-07 17:30,648
20250207 17:35:00 Europe/Berlin,2025-02-07 17:35:00+01:00,False,6046.82,6041.61,DOWN,6095.0,5990.0,0.8567,0.8485,0.88,0.85,StrategyEnum.Hold,StrategyEnum.Hold,6046.85,6039.32,0,0,290,6047.42,6065.8,41.68,11.79,0.19515710475873316,6053.400631156814,6029.819368843186,-7.715171931556142,-6.231058425388123,-1.4841135061680193,6080.31,6056.95,6033.58,46.7,StrategyEnum.Hold,125,53,,,,641,6046.85,6039.32,6046.85,6039.32,False,8,6056.42,6019.96,2025-02-07 17:35,649
20250207 17:40:00 Europe/Berlin,2025-02-07 17:40:00+01:00,False,6041.59,6040.52,DOWN,6095.0,5990.0,0.8639,0.8457,0.9,0.84,StrategyEnum.Hold,StrategyEnum.Hold,6046.6,6037.55,0,0,293,6044.07,6065.17,41.24,11.59,0.19195155033788885,6052.114871788471,6028.92512821153,-7.966888208866294,-6.578224382083757,-1.3886638267825369,6079.54,6055.62,6031.7,47.8,StrategyEnum.Hold,130,52,,,,642,6046.6,6037.55,6046.6,6037.55,False,8,6056.42,6019.96,2025-02-07 17:40,650
20250207 17:45:00 Europe/Berlin,2025-02-07 17:45:00+01:00,False,6040.51,6037.56,DOWN,6090.0,5985.0,0.8572,0.8577,0.87,0.87,StrategyEnum.Hold,StrategyEnum.Hold,6041.49,6034.34,0,0,295,6041.35,6064.46,40.03,11.28,0.18678706209854032,6048.837380946437,6026.282619053563,-8.309436423751322,-6.92446679041727,-1.3849696333340518,6077.16,6053.75,6030.33,46.8,StrategyEnum.Hold,135,51,,,,643,6041.49,6034.34,6041.49,6034.34,False,8,6056.42,6019.96,2025-02-07 17:45,651
20250207 17:50:00 Europe/Berlin,2025-02-07 17:50:00+01:00,False,6037.6,6035.78,DOWN,6085.0,5985.0,0.8444,0.8519,0.82,0.84,StrategyEnum.Hold,StrategyEnum.Hold,6039.59,6032.53,0,0,285,6040.51,6063.75,39.28,10.98,0.18185121807392943,6046.756139450263,6024.803860549737,-8.625114524601486,-7.264596337254114,-1.3605181873473722,6076.83,6052.46,6028.09,48.7,StrategyEnum.Hold,140,50,,,,644,6039.59,6032.53,6039.59,6032.53,False,8,6056.42,6019.96,2025-02-07 17:50,652
20250207 17:55:00 Europe/Berlin,2025-02-07 17:55:00+01:00,False,6035.76,6035.61,DOWN,6085.0,5985.0,0.8476,0.8535,0.82,0.84,StrategyEnum.Hold,StrategyEnum.Hold,6044.52,6035.08,0,0,291,6038.22,6063.03,39.2,10.87,0.18003839220584705,6046.476415203815,6024.743584796184,-8.787710022139436,-7.569219074231178,-1.2184909479082577,6075.38,6050.9,6026.41,49.0,StrategyEnum.Hold,145,49,,,,645,6044.52,6035.08,6044.52,6035.08,False,8,6056.42,6019.96,2025-02-07 17:55,653
20250207 18:00:00 Europe/Berlin,2025-02-07 18:00:00+01:00,False,6035.62,6032.42,DOWN,6085.0,5980.0,0.8653,0.8646,0.87,0.87,StrategyEnum.Hold,StrategyEnum.Hold,6035.62,6030.54,0,0,287,6036.38,6062.27,37.74,10.45,0.17328202996665057,6042.873099832114,6021.966900167886,-9.069427747877853,-7.869260808960513,-1.2001669389173397,6072.87,6048.96,6025.06,47.8,StrategyEnum.Hold,150,48,,,,646,6035.62,6030.54,6035.62,6030.54,False,8,6056.42,6019.96,2025-02-07 18:00,654
20250207 18:05:00 Europe/Berlin,2025-02-07 18:05:00+01:00,False,6032.38,6042.53,UP,6090.0,5995.0,0.8428,0.8431,0.79,0.79,StrategyEnum.Hold,StrategyEnum.Hold,6044.63,6026.91,0,0,294,6036.78,6061.82,44.78,10.97,0.18158228639030952,6053.50216412982,6031.55783587018,-8.380295735303662,-7.971467794229143,-0.40882794107451836,6070.49,6047.78,6025.08,45.4,StrategyEnum.Hold,155,47,,,,647,6044.63,6026.91,6044.63,6026.91,False,8,6056.42,6019.96,2025-02-07 18:05,655
20250207 18:10:00 Europe/Berlin,2025-02-07 18:10:00+01:00,False,6042.66,6044.63,UP,6095.0,5995.0,0.8596,0.8561,0.83,0.82,StrategyEnum.Hold,StrategyEnum.SellIronCondor,6045.55,6035.95,0,0,291,6038.19,6061.72,46.15,10.87,0.17989773412536084,6055.504152406262,6033.7558475937385,-7.577354178611131,-7.892645071105541,0.31529089249441,6067.69,6046.68,6025.68,42.0,StrategyEnum.SellIronCondor,160,46,,,,648,6045.55,6035.95,6045.55,6035.95,False,8,6056.42,6019.96,2025-02-07 18:10,656
20250207 18:15:00 Europe/Berlin,2025-02-07 18:15:00+01:00,False,6044.74,6034.23,DOWN,6085.0,5985.0,0.8646,0.8572,0.84,0.82,StrategyEnum.SellIronCondor,StrategyEnum.Hold,6045.17,6026.93,0,0,295,6037.88,6061.29,40.78,11.4,0.18892691159009656,6045.630284377243,6022.829715622756,-7.691546928454045,-7.8524254425752416,0.16087851412119658,6064.42,6045.03,6025.63,38.8,StrategyEnum.Hold,165,45,,,True,649,6045.17,6026.93,6045.17,6026.93,False,8,6056.42,6019.96,2025-02-07 18:15,657
20250207 18:20:00 Europe/Berlin,2025-02-07 18:20:00+01:00,False,6034.07,6034.7,DOWN,6085.0,5985.0,0.865,0.8622,0.83,0.82,StrategyEnum.Hold,StrategyEnum.Hold,6042.28,6031.59,0,0,293,6037.7,6060.93,41.11,11.35,0.1880714829050085,6046.049549778868,6023.350450221132,-7.655868348662807,-7.813114023792755,0.15724567512994803,6061.16,6043.53,6025.89,35.3,StrategyEnum.Hold,170,44,,,,650,6042.28,6031.59,6042.28,6031.59,False,8,6056.42,6019.96,2025-02-07 18:20,658
20250207 18:25:00 Europe/Berlin,2025-02-07 18:25:00+01:00,False,6034.54,6036.53,DOWN,6085.0,5990.0,0.8588,0.849,0.8,0.77,StrategyEnum.Hold,StrategyEnum.Hold,6038.62,6032.42,0,0,287,6038.52,6060.48,42.47,10.98,0.18192114997628833,6047.511724794664,6025.548275205336,-7.394685776476763,-7.729428374329556,0.33474259785279337,6055.77,6041.95,6028.14,27.6,StrategyEnum.Hold,175,43,,,,651,6038.62,6032.42,6038.62,6032.42,False,8,6056.42,6019.96,2025-02-07 18:25,659
20250207 18:30:00 Europe/Berlin,2025-02-07 18:30:00+01:00,False,6036.38,6034.86,DOWN,6080.0,5990.0,0.8445,0.843,0.75,0.74,StrategyEnum.Hold,StrategyEnum.Hold,6040.36,6033.16,0,0,290,6036.99,6059.96,41.53,10.71,0.17749544471694115,6045.571601595045,6024.148398404955,-7.239005005943,-7.631343700652245,0.3923386947092453,6055.84,6041.87,6027.9,27.9,StrategyEnum.Hold,180,42,,,,652,6040.36,6033.16,6040.36,6033.16,False,8,6056.42,6019.96,2025-02-07 18:30,660
20250207 18:35:00 Europe/Berlin,2025-02-07 18:35:00+01:00,True,6034.92,6042.42,UP,6090.0,5995.0,0.8599,0.859,0.79,0.78,StrategyEnum.Hold,StrategyEnum.Hold,6042.46,6034.57,0,0,293,6036.55,6059.68,47.23,10.51,0.17393790276032103,6052.930058623971,6031.90994137603,-6.43146018565767,-7.39136699765333,0.9599068119956602,6054.47,6041.36,6028.26,26.2,StrategyEnum.Hold,185,41,,,,653,6042.46,6034.57,6042.46,6034.57,False,8,6056.42,6019.96,2025-02-07 18:35,661
20250207 18:40:00 Europe/Berlin,2025-02-07 18:40:00+01:00,True,6042.23,6041.18,UP,6085.0,5995.0,0.843,0.8557,0.73,0.76,StrategyEnum.Hold,StrategyEnum.Hold,6043.23,6039.31,0,0,287,6037.94,6059.37,46.43,10.04,0.16618177493187428,6051.219340150829,6031.140659849171,-5.824392760240698,-7.077972150170804,1.2535793899301053,6054.44,6041.34,6028.23,26.2,StrategyEnum.Hold,190,40,,,,654,6043.23,6039.31,6043.23,6039.31,False,8,6056.42,6019.96,2025-02-07 18:40,662
20250207 18:45:00 Europe/Berlin,2025-02-07 18:45:00+01:00,True,6041.3,6044.52,UP,6090.0,6000.0,0.8549,0.8498,0.75,0.74,StrategyEnum.Hold,StrategyEnum.Hold,6045.6,6040.98,0,0,288,6039.9,6059.09,48.94,9.65,0.1596858712647194,6054.17224442577,6034.867755574231,-5.01595654078028,-6.665569028292699,1.6496124875124192,6052.97,6040.91,6028.85,24.1,StrategyEnum.Hold,195,39,,,,655,6045.6,6040.98,6045.6,6040.98,False,8,6056.42,6019.96,2025-02-07 18:45,663
20250207 18:50:00 Europe/Berlin,2025-02-07 18:50:00+01:00,True,6044.45,6043.08,UP,6090.0,6000.0,0.8656,0.845,0.78,0.71,StrategyEnum.Hold,StrategyEnum.Hold,6046.9,6039.64,0,0,284,6041.21,6058.72,47.9,9.48,0.1568963148581425,6052.561369823929,6033.59863017607,-4.440276237319267,-6.220510470098013,1.7802342327787457,6052.92,6040.88,6028.84,24.1,StrategyEnum.Hold,200,38,,,,656,6046.9,6039.64,6046.9,6039.64,False,8,6056.42,6019.96,2025-02-07 18:50,664
20250207 18:55:00 Europe/Berlin,2025-02-07 18:55:00+01:00,True,6043.13,6041.21,DOWN,6085.0,5995.0,0.8523,0.8652,0.72,0.76,StrategyEnum.Hold,StrategyEnum.Hold,6045.55,6040.62,0,0,287,6042.48,6058.26,46.51,9.16,0.15156354404768366,6050.366271979363,6032.053728020637,-4.087817011106381,-5.793971778299687,1.706154767193306,6049.51,6040.08,6030.65,18.9,StrategyEnum.Hold,205,37,,,,657,6045.55,6040.62,6045.55,6040.62,False,8,6056.42,6019.96,2025-02-07 18:55,665
20250207 19:00:00 Europe/Berlin,2025-02-07 19:00:00+01:00,True,6041.14,6047.8,UP,6090.0,6005.0,0.8464,0.8498,0.7,0.71,StrategyEnum.Hold,StrategyEnum.Hold,6048.43,6039.62,0,0,289,6043.56,6057.9,51.8,9.13,0.150989422046884,6056.931538266552,6038.668461733449,-3.239390927763452,-5.28305560819244,2.0436646804289875,6048.64,6039.91,6031.19,17.5,StrategyEnum.Hold,210,36,,,,658,6048.43,6039.62,6048.43,6039.62,False,8,6056.42,6019.96,2025-02-07 19:00,666
20250207 19:05:00 Europe/Berlin,2025-02-07 19:05:00+01:00,True,6047.78,6053.17,UP,6095.0,6010.0,0.8474,0.8551,0.69,0.71,StrategyEnum.Hold,StrategyEnum.Hold,6054.62,6047.58,0,0,288,6045.96,6057.63,55.65,8.98,0.1483874180980129,6062.152142676084,6044.187857323916,-2.10937743309114,-4.64831997317218,2.53894254008104,6051.04,6040.57,6030.11,20.9,StrategyEnum.Hold,215,35,,,,659,6054.62,6047.58,6054.62,6047.58,False,8,6056.42,6019.96,2025-02-07 19:05,667
20250207 19:10:00 Europe/Berlin,2025-02-07 19:10:00+01:00,True,6053.08,6054.4,UP,6095.0,6010.0,0.8437,0.8652,0.67,0.73,StrategyEnum.Hold,StrategyEnum.Hold,6055.05,6051.47,0,0,287,6047.93,6057.37,56.5,8.6,0.14198393469340512,6062.996275342077,6045.803724657922,-1.1018810776286045,-3.939032194063465,2.8371511164348604,6052.72,6040.94,6029.16,23.6,StrategyEnum.Hold,220,34,,,,660,6055.05,6051.47,6055.05,6051.47,False,8,6056.42,6019.96,2025-02-07 19:10,668
20250207 19:15:00 Europe/Berlin,2025-02-07 19:15:00+01:00,True,6054.33,6055.11,UP,6095.0,6015.0,0.843,0.8443,0.66,0.66,StrategyEnum.Hold,StrategyEnum.Hold,6056.42,6054.17,0,0,291,6050.34,6057.12,57.02,8.14,0.13448095840538904,6063.2529699605,6046.967030039499,-0.24333685522833548,-3.199893126296439,2.9565562710681035,6054.92,6041.61,6028.31,26.6,StrategyEnum.Hold,225,33,,,,661,6056.42,6054.17,6056.42,6054.17,False,8,6056.42,6019.96,2025-02-07 19:15,669
20250207 19:20:00 Europe/Berlin,2025-02-07 19:20:00+01:00,False,6055.06,6052.33,DOWN,6095.0,6010.0,0.8631,0.8611,0.71,0.7,StrategyEnum.Hold,StrategyEnum.Hold,6055.06,6050.72,0,0,283,6052.56,6056.77,54.3,7.87,0.13011353772196188,6060.204900677608,6044.455099322392,0.2103184398747544,-2.5178508130622004,2.728169252936955,6056.29,6042.2,6028.12,28.2,StrategyEnum.Hold,230,32,,,,662,6055.06,6050.72,6055.06,6050.72,False,8,6055.68,6019.96,2025-02-07 19:20,670
