date,datetime,narrow_bands,open,close,trend,call_strike,put_strike,call_p,put_p,c_dist_p,p_dist_p,final_signal,temp_signal,high,low,volume,wap,count,SMA5,SMA50,RSI,ATR,ATR_percent,ATR_up,ATR_down,MACD,MACDSignal,MACDHist,bb_up,bb_mid,bb_low,band_width,tech_signal,minutes_since_open,remaining_intervals,SellCall_profit,SellPut_profit,SellIronCondor_profit,day,day_high,day_low,day_high_remaining_2,day_low_remaining_2,new_day,day_group,day_high_remaining,day_low_remaining,date_num,x
20250128 17:15:00 Europe/Berlin,2025-01-28 17:15:00+01:00,False,6050.78,6047.76,DOWN,6100.0,5995.0,0.8424,0.8448,0.86,0.87,StrategyEnum.Hold,StrategyEnum.Hold,6053.3,6047.61,0,0,292,6050.93,,63.33,7.89,0.13045806558420717,6055.649790707175,6039.870209292825,,,,6068.56,6034.74,6000.93,67.6,StrategyEnum.Hold,105,57,,,,21,6053.3,6047.61,6053.3,6047.61,False,0,6074.54,6030.06,2025-01-28 17:15,21
20250128 17:20:00 Europe/Berlin,2025-01-28 17:20:00+01:00,False,6047.73,6041.1,DOWN,6095.0,5985.0,0.8524,0.862,0.89,0.93,StrategyEnum.Hold,StrategyEnum.Hold,6048.41,6041.08,0,0,292,6048.87,,57.13,7.85,0.12994000524180876,6048.949805656664,6033.250194343337,,,,6067.4,6036.6,6005.79,61.6,StrategyEnum.Hold,110,56,,,,22,6048.41,6041.08,6048.41,6041.08,False,0,6074.54,6030.06,2025-01-28 17:20,22
20250128 17:25:00 Europe/Berlin,2025-01-28 17:25:00+01:00,False,6041.06,6034.81,DOWN,6090.0,5980.0,0.8605,0.8589,0.91,0.91,StrategyEnum.Hold,StrategyEnum.Hold,6041.15,6031.6,0,0,292,6045.57,,51.96,7.97,0.13208780574298717,6042.781248109759,6026.838751890242,,,,6064.19,6038.34,6012.49,51.7,StrategyEnum.Hold,115,55,,,,23,6041.15,6031.6,6041.15,6031.6,False,0,6074.54,6030.06,2025-01-28 17:25,23
20250128 17:30:00 Europe/Berlin,2025-01-28 17:30:00+01:00,False,6034.64,6037.43,DOWN,6090.0,5985.0,0.8509,0.8503000000000001,0.87,0.87,StrategyEnum.Hold,StrategyEnum.Hold,6037.78,6034.17,0,0,295,6042.37,,53.83,7.66,0.12687071133963862,6045.089730387633,6029.770269612368,,,,6061.47,6039.84,6018.22,43.2,StrategyEnum.Hold,120,54,,,,24,6037.78,6034.17,6037.78,6034.17,False,0,6074.54,6030.06,2025-01-28 17:30,24
20250128 17:35:00 Europe/Berlin,2025-01-28 17:35:00+01:00,False,6037.34,6039.79,DOWN,6090.0,5985.0,0.842,0.863,0.83,0.91,StrategyEnum.Hold,StrategyEnum.Hold,6039.79,6031.48,0,0,291,6040.18,,55.52,7.71,0.1275901681529917,6047.496178217088,6032.083821782912,,,,6058.63,6041.25,6023.86,34.8,StrategyEnum.SellIronCondor,125,53,,,,25,6039.79,6031.48,6039.79,6031.48,False,0,6074.54,6030.06,2025-01-28 17:35,25
20250128 17:40:00 Europe/Berlin,2025-01-28 17:40:00+01:00,False,6040.1,6036.35,DOWN,6090.0,5985.0,0.8604,0.8498,0.89,0.85,StrategyEnum.Hold,StrategyEnum.Hold,6040.24,6030.06,0,0,293,6037.9,,52.51,7.88,0.13059017076560914,6044.232879773011,6028.46712022699,,,,6057.82,6041.78,6025.74,32.1,StrategyEnum.Hold,130,52,,,,26,6040.24,6030.06,6040.24,6030.06,False,0,6074.54,6030.06,2025-01-28 17:40,26
20250128 17:45:00 Europe/Berlin,2025-01-28 17:45:00+01:00,True,6036.58,6041.92,UP,6095.0,5990.0,0.8599,0.8546,0.88,0.86,StrategyEnum.Hold,StrategyEnum.Hold,6041.97,6036.1,0,0,286,6038.06,,56.61,7.74,0.12809012112650084,6049.659102646367,6034.180897353634,,,,6055.65,6042.84,6030.03,25.6,StrategyEnum.Hold,135,51,,,,27,6041.97,6036.1,6041.97,6036.1,False,0,6074.54,6032.42,2025-01-28 17:45,27
20250128 17:50:00 Europe/Berlin,2025-01-28 17:50:00+01:00,True,6041.88,6041.26,UP,6090.0,5990.0,0.8418,0.8539,0.81,0.85,StrategyEnum.Hold,StrategyEnum.Hold,6042.32,6032.42,0,0,291,6039.35,,55.99,7.89,0.13065904227495737,6049.15345245734,6033.366547542661,,,,6054.84,6043.4,6031.95,22.9,StrategyEnum.Hold,140,50,,,,28,6042.32,6032.42,6042.32,6032.42,False,0,6074.54,6032.42,2025-01-28 17:50,28
20250128 17:55:00 Europe/Berlin,2025-01-28 17:55:00+01:00,True,6041.32,6046.58,UP,6095.0,5995.0,0.8424,0.8577,0.8,0.85,StrategyEnum.Hold,StrategyEnum.Hold,6046.58,6040.7,0,0,288,6041.18,,59.79,7.75,0.12816558161262975,6054.329634424673,6038.830365575327,,,,6054.39,6044.12,6033.85,20.5,StrategyEnum.Hold,145,49,,,,29,6046.58,6040.7,6046.58,6040.7,False,0,6074.54,6040.7,2025-01-28 17:55,29
20250128 18:00:00 Europe/Berlin,2025-01-28 18:00:00+01:00,True,6046.59,6048.95,UP,6100.0,6000.0,0.8576,0.8473999999999999,0.84,0.81,StrategyEnum.Hold,StrategyEnum.Hold,6049.01,6045.81,0,0,296,6043.01,,61.39,7.42,0.12274296426977073,6056.374660537196,6041.5253394628035,,,,6054.89,6044.51,6034.12,20.8,StrategyEnum.Hold,150,48,,,,30,6049.01,6045.81,6049.01,6045.81,False,0,6074.54,6045.81,2025-01-28 18:00,30
20250128 18:05:00 Europe/Berlin,2025-01-28 18:05:00+01:00,True,6048.98,6055.45,UP,6105.0,6005.0,0.8527,0.857,0.82,0.83,StrategyEnum.Hold,StrategyEnum.Hold,6056.06,6048.54,0,0,292,6046.83,,65.46,7.43,0.12272367039320221,6062.881470498825,6048.018529501174,,,,6056.39,6044.97,6033.55,22.8,StrategyEnum.Hold,155,47,,,,31,6056.06,6048.54,6056.06,6048.54,False,0,6074.54,6048.54,2025-01-28 18:05,31
20250128 18:10:00 Europe/Berlin,2025-01-28 18:10:00+01:00,True,6055.54,6056.45,UP,6105.0,6005.0,0.8503,0.8643000000000001,0.8,0.85,StrategyEnum.Hold,StrategyEnum.Hold,6057.81,6055.08,0,0,286,6049.74,,66.05,7.1,0.11715858592872957,6063.54565117748,6049.35434882252,,,,6058.0,6045.8,6033.61,24.4,StrategyEnum.Hold,160,46,,,,32,6057.81,6055.08,6057.81,6055.08,False,0,6074.54,6053.3,2025-01-28 18:10,32
